Категория,Подкатегория 2,Подкатегория 3,Артикул,Имя товара,Цена,Количество,Производитель,Опция:Цвет
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"21230,0",5,Adamex,
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"24 750,0",6,Adamex,желтый
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"21 230,0",8,Adamex,коричневый
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"24 750,0",6,Adamex,красный
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"24 750,0",15,Adamex,оранжевый
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"24 750,0",13,Adamex,розовый
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"23 826,0",15,Adamex,серый
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"23 397,0",6,Adamex,графит
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"23 397,0",14,Adamex,бежевый
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"31 458,9",2,Adamex,белый
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"24 750,0",5,Adamex,бирюзовый
Детские товары и игрушки,Прогулки и детская комната,Коляски,598194,Коляска Adamex Barletta 2 in 1,"23 397,0",10,Adamex,синий
Детские товары и игрушки,Прогулки и детская комната,Коляски,164281,Коляска Peg Perego Si,"15818,0",7,Peg Perego,
Детские товары и игрушки,Прогулки и детская комната,Коляски,164281,Коляска Peg Perego Si,"15 818,0",2,Peg Perego,красный
Детские товары и игрушки,Прогулки и детская комната,Коляски,164281,Коляска Peg Perego Si,"28 050,0",11,Peg Perego,серебристый
Детские товары и игрушки,Прогулки и детская комната,Коляски,164281,Коляска Peg Perego Si,"16 544,0",15,Peg Perego,серый
Детские товары и игрушки,Прогулки и детская комната,Коляски,164281,Коляска Peg Perego Si,"20 152,0",14,Peg Perego,черный
Детские товары и игрушки,Прогулки и детская комната,Коляски,164281,Коляска Peg Perego Si,"15 818,0",13,Peg Perego,бежевый
